Query_Index,Execution_Time,Result,Triple_Count
query_196,2476,504567000.0,2
query_192,2944,17028649456.0,2
query_189,2351,256873680.00000003,2
query_188,2421,4311013.0,2
query_182,1471,2596.445076576474,2
query_180,2771,52441.00000000001,2
query_18,1756,173055.0,2
query_178,2491,167479506.0,2
query_176,2592,128022548.0,2
query_175,2041,27415211489.000004,2
query_174,2131,1168546236.0,2
query_173,2152,1361942.0,2
query_172,2078,4909119939.0,2
query_170,1783,5673.342742295667,2
query_162,2824,62.800285566886735,2
query_161,2562,42657235.0,2
query_199,2343,2.9336037961386605,2
query_289,2300,1117307.45839542,2
query_99,1732,868.2464356801254,2
query_305,2250,358.23053230532304,2
query_299,4432,3093345.56280186,2
query_32,2654,133892830.0,2
query_318,3280,3381.1866666666665,2
query_308,3092,124.84846641626496,2
query_302,2714,13.036493500154563,2
query_314,2709,158.67099343042503,2
query_319,2664,20.83262284431172,2
query_320,2689,47132718336.00001,2
query_296,2172,871235855.0,2
query_295,1454,1790.2381707513932,2
query_300,4053,2337.511608878512,2
query_292,2956,2304608641220.0,2
query_31,2176,44191980.0,2
query_3,2910,148.597256958451,2
query_312,2597,95227645949.99998,2
query_311,3102,206205358370.99997,2
query_291,2457,333467780520.00006,2
query_310,2475,24007103148.0,2
query_321,2570,3024560220352.0,2
query_301,2736,1521990356.9999998,2
query_298,2545,25.0,2
query_355,2126,551182.6536796537,3
query_290,4543,15378628403.555166,3
query_190,1530,965203220.8505636,3
query_357,2735,14.529769392033543,3
query_356,2334,7135.747335732242,3
query_191,1949,14851199959.526438,3
query_58,1926,1.156873083902529e+16,3
query_186,2096,8071.856757074087,3
query_184,2176,88265333073.45503,3
query_354,2410,11472.7258482552,3
query_353,1669,15586.748097604115,3
query_194,2281,207000011.08566028,3
query_580,2157,18947307314.73305,3
query_177,1419,825481.0,3
query_585,2504,1555510.531102875,3
query_187,1815,41391.45726521504,3
query_195,2799,5.277333408916981,3
query_553,1756,1207244848.8126698,3
query_359,2232,42822286.90353279,3
query_226,1738,352713216.1015874,3
query_30,2683,857581044.4833155,3
query_52,1813,331.2931653194969,3
query_225,1717,95810910.33622324,3
query_521,1786,1371297640.4842925,3
query_220,2552,161962221.7694673,3
query_22,1741,37659.44626725754,3
